emerge saleintended2 ebitbeforedummy equitybefore manufacturing prime1yearbeffile lnhqtohqctcity prepack3 diploanres commcred24 lnassetscurrdollar lnjudgeexp
1 1 0 0.19252529 0 6.75 2.48490665 0 1 1 6.36870163 2.94443898
1 0 0 0.15537678 0 8.25 3.13549422 1 1 1 7.96943730 2.39789527
1 0 0 0.17760000 0 4.50 2.19722458 1 1 NA 5.74460447 0.00000000
0 0 0 0.24098887 0 8.25 3.33220451 1 1 1 6.78152290 1.60943791
1 1 0 0.11452514 0 3.25 2.89037176 1 1 1 6.57368017 4.38202663
1 0 0 -0.14495482 0 9.00 0.00000000 0 1 1 7.88457651 0.69314718
1 0 0 -0.30832909 0 9.00 0.00000000 0 1 NA 6.44279491 2.30258509
0 1 1 0.33634992 0 8.25 2.48490665 1 NA 0 5.58048426 0.00000000
1 0 1 0.40216133 0 5.00 0.00000000 1 1 1 7.78376554 1.79175947
1 0 1 0.19400469 1 6.75 2.94443898 1 NA 1 8.31708234 0.00000000
0 1 0 0.04816891 1 9.00 3.13549422 1 1 1 5.96316795 3.85014760
1 0 0 -0.28167282 1 8.50 2.89037176 2 1 NA 6.00758393 4.02535169
0 0 1 -0.36284401 1 8.25 2.89037176 1 1 1 5.93653306 2.30258509
1 1 0 -0.44583333 1 8.50 3.04452244 1 1 1 5.48063892 2.07944154
1 0 0 0.01537729 1 7.25 0.00000000 1 1 1 10.21511806 2.19722458
1 0 1 -0.41036717 1 7.25 0.00000000 1 1 1 6.13772705 4.30406509
1 0 0 0.38583544 1 5.25 2.39789527 1 1 1 6.68393650 2.07944154
1 0 1 -0.15310508 1 7.25 0.00000000 0 1 1 6.15759320 4.29045944
1 0 1 -0.01420859 1 4.00 2.30258509 2 1 NA 6.01004093 3.87120101
1 0 1 0.10352673 1 8.50 3.61091791 1 1 1 6.77878490 3.17805383
0 1 1 -0.34973965 1 7.75 2.63905733 1 1 1 5.83997283 0.69314718
1 0 1 -0.55487758 1 4.50 2.99573227 0 1 1 6.47035049 0.69314718
0 1 0 -0.20348596 1 6.50 2.63905733 1 1 1 5.89012372 4.24849524
1 0 1 -0.26833373 1 7.00 4.83628191 0 1 1 6.72359203 0.69314718
1 1 1 0.38655534 1 7.50 2.89037176 1 1 1 5.86394363 2.63905733
1 0 0 -0.02528523 1 3.25 0.00000000 0 1 1 5.96399057 4.39444915
1 0 1 0.14436839 1 9.50 0.00000000 1 1 1 8.07527155 1.09861229
1 0 1 -0.01069774 1 8.25 0.00000000 2 1 NA 6.53785035 3.73766962
1 1 0 -0.01432002 1 5.00 0.00000000 1 1 1 6.12708750 1.94591015
0 1 0 -0.17279570 1 4.00 3.04452244 1 1 1 5.91889385 1.09861229
1 0 0 -0.17279570 1 4.25 2.48490665 0 1 1 5.91889385 0.69314718
0 1 0 0.28400000 1 9.50 0.00000000 1 1 1 5.52146092 0.00000000
1 0 1 0.00230524 1 8.75 3.29583687 0 1 1 8.04942706 0.69314718
1 0 1 -0.41006251 1 4.50 0.00000000 0 NA NA 7.59266865 3.09104245
1 0 1 0.16828961 1 6.50 2.99573227 1 1 1 6.77182100 3.66356165
1 0 1 -0.09901447 1 8.25 0.00000000 1 1 1 8.77863395 0.00000000
0 1 1 0.09422569 1 5.00 3.21887582 1 1 1 6.16739070 2.30258509
0 0 0 0.22436671 1 8.50 2.99573227 1 1 1 6.72022016 1.09861229
1 0 1 0.06723600 1 8.50 0.00000000 1 NA 1 5.74881957 0.69314718
0 0 1 0.04619475 1 8.50 3.40119738 1 NA 1 5.70677798 0.00000000
1 0 1 0.18198192 1 8.50 3.71357207 1 1 1 6.40550941 0.00000000
1 1 1 -0.00471691 1 8.50 0.00000000 1 1 1 7.14836147 0.00000000
0 0 0 -0.13911872 1 8.50 3.98898405 1 1 1 5.56010454 0.00000000
1 0 0 0.24405835 1 8.50 0.00000000 1 1 1 8.71620797 0.69314718
1 0 1 -0.33575033 1 9.00 0.00000000 1 1 1 7.08764054 0.00000000
0 0 0 0.20486556 1 9.50 3.93182563 1 1 1 8.60648530 3.09104245
0 1 0 -0.13431542 1 8.50 1.79175947 1 1 1 7.74413663 0.69314718
0 1 1 -0.01003861 1 7.00 0.00000000 0 1 1 6.47311879 1.60943791
1 0 0 -0.95545977 1 4.75 3.33220451 1 1 1 6.54534966 0.00000000
1 0 0 -0.62908868 1 4.75 2.77258872 1 1 1 5.97031752 0.69314718
1 0 0 0.06618887 1 4.75 0.00000000 1 1 1 6.16205085 1.09861229
1 1 0 0.12170448 1 4.75 1.94591015 1 1 1 6.48065787 3.82864140
